RowID,DateTimeStart,DateTimeEnd,Title,Location,ForMultipleCandidates,CancelledOrRescheduled,PositionIDList,URL,Notes
9001,2026-05-02T13:00:00,2026-05-02T16:00:00,Day 1: 2026 Waterloo Region Women's Municipal Campaign School,"RIM Park, 2001 University Ave E, Waterloo, ON",Y,,Alias-Everything,https://www.eventbrite.ca/e/day-1-2026-waterloo-region-womens-municipal-campaign-school-tickets-1987433324574,
9002,2026-06-13T10:00:00,2026-06-13T16:00:00,Day 2: 2026 Waterloo Region Women's Municipal Campaign School,"150 Frederick St, Kitchener, ON",Y,,Alias-Everything,https://www.eventbrite.ca/e/day-2-2026-waterloo-region-womens-municipal-campaign-school-tickets-1988687411582,
9003,2026-06-09T18:30:00,2026-06-09T20:00:00,AMO – Running for Municipal Office-Everything You Need to Know as an Underrepresented Candidate,Online,Y,,Alias-Everything,https://amo-on-ca.zoom.us/meeting/register/uJkrINbXTDqYtfZZqVmv6g#/registration,
9004,2026-06-03T18:30:00,2026-06-03T20:00:00,AMO – An Information Session for Urban Indigenous Peoples’ Considering Running for Municipal Office,Online,Y,,Alias-Everything,https://www.amo.on.ca/information-session-urban-indigenous-peoples-considering-running-municipal-office,
9005,2026-06-02T18:30:00,2026-06-02T20:00:00,AMO – An Information Session for Youth Considering Running for Municipal Office,Online,Y,,Alias-Everything,https://www.amo.on.ca/information-session-youth-considering-running-municipal-office,
9006,2026-06-16T18:30:00,2026-06-16T20:00:00,AMO – AMO's Healthy Democracy Leadership Series: Supporting Local Leadership in run up to the 2026 Municipal Elections (Session 1),Online,Y,,Alias-Everything,https://amo-on-ca.zoom.us/meeting/register/4dJoemgDR-uOiTs3YkZQlA,
9007,2026-06-09T19:00:00,2026-06-09T20:30:00,KPL - Exploring Civic Career Pathways for Youth,"KPL Main Branch, 85 Queen St N, Kitchener, ON",Y,,Alias-Everything,https://kpl.events.mylibrary.digital/event?id=344794,
9008,2026-06-02T18:30:00,2026-06-02T20:30:00,VisionWR - How to host an all candidates meeting: A playbook for Success!,"Downtown Community Centre, 35 Weber St W, Kitchener, ON",Y,,Alias-Everything,https://www.eventbrite.ca/e/how-to-host-an-all-candidates-meeting-a-playbook-for-success-tickets-1988945814472,
9009,2026-06-05T17:00:00,2026-06-05T19:00:00,Run4OfficeWR and Laterna Black Innovation Hub - A Conversation with Meena Waseen,"EC5, 305 Phillip St S, Waterloo, ON",N,,SchoolBoard-Public-English-Kitchener,https://www.linkedin.com/posts/fridaysafter5-lbih-run4officewr-share-7464712593375531008-CSG0,
